campaign,campaign_id,name_has_plus
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory blackout curtains 96 inches long),78829958836102,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(ivory curtains blackout),149414806847955,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-IVORY-2-PCS)-(warm ivory blackout curtains),88568724527971,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-NATURAL-2-PCS)-(blackout curtains 52x96),214394956810895,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout)-(LINEN-CURTAIN-52x96-NATURAL-2-PCS)-(blackout curtains 92+ inches long),191764688610382,True
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x108-IVORY-2-PCS)-(blackout curtains for bedroom 108 inches long),126221354854637,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x120-NATURAL-2-PCS)-(blackout curtains for bedroom 120 inches long),207178068148779,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x63-LINEN-2-PCS)-(blackout curtains for bedroom 63 inches long),272294595506892,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x72-LIGHT-BEIGE-2-PCS)-(blackout curtains for bedroom 72 inches long),3187059501519,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x84-NATURAL-2-PCS)-(blackout curtains for bedroom 84 inches long),206152994447995,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(52x90-BEIGE-2-PCS)-(thermal insulated blackout curtains for bedroom),129749285119444,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(bedroom curtains blackout),75367199914568,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(best blackout curtains for bedroom),6616735036089,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout bedroom curtain),48122186075291,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout boho curtains for bedroom),1587138812641,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtain panels bedroom),116083266001576,False
D-LC-SP-EXACT-RAN-DO-(Curtains|Blackout|Bedroom)-(LINEN-CURTAIN-52x84-NATURAL-2-PCS)-(blackout curtains for bedroom long),117109815984547,False
